model type,technique,training loses,testing loses,model path,best fold,training f1,training accuracies,training precision,training true positives,training true negatives,training false positives,training false negatives,best training loses,best training accuracies,best training f1,best training precision,best training true positives,best training true negatives,best training false positives,best training false negatives,testing f1,testing accuracies,testing precision,testing true positives,testing true negatives,testing false positives,testing false negatives,best testing loses,best testing accuracies,best testing f1,best testing precision,best testing true positives,best testing true negatives,best testing false positives,best testing false negatives
Random forest,baseline,"[0.16494845360824742, 0.16752577319587628, 0.16195372750642673, 0.17994858611825193, 0.17480719794344474, 0.15167095115681234, 0.16452442159383032, 0.16966580976863754, 0.17737789203084833, 0.16452442159383032]","[0.5347222222222222, 0.4861111111111111, 0.4652777777777778, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111, 0.4861111111111111, 0.5138888888888888, 0.4861111111111111, 0.4444444444444444]",Models\RandomForest\20260816_16\baseline.pkl,5.0,"[0.7880794701986755, 0.7975077881619937, 0.7934426229508197, 0.7741935483870968, 0.7861635220125787, 0.8195718654434251, 0.8012422360248447, 0.7843137254901961, 0.7766990291262136, 0.7961783439490446]","[83.50515463917526, 83.24742268041237, 83.80462724935732, 82.0051413881748, 82.51928020565553, 84.83290488431876, 83.54755784061697, 83.03341902313625, 82.26221079691517, 83.54755784061697]","[0.8880597014925373, 0.847682119205298, 0.852112676056338, 0.8391608391608392, 0.8445945945945946, 0.8589743589743589, 0.821656050955414, 0.8571428571428571, 0.8450704225352113, 0.8503401360544217]","[119, 128, 121, 120, 125, 134, 129, 120, 120, 125]","[205, 195, 205, 199, 196, 196, 196, 203, 200, 200]","[15, 23, 21, 23, 23, 22, 28, 20, 22, 22]","[49, 42, 42, 47, 45, 37, 36, 46, 47, 42]",0.15167095115681234,84.83290488431876,0.8195718654434251,0.8589743589743589,134.0,196.0,22.0,37.0,"[0.36363636363636365, 0.36363636363636365, 0.4462809917355372, 0.35294117647058826, 0.47692307692307695, 0.4262295081967213, 0.36363636363636365, 0.3728813559322034, 0.35185185185185186, 0.4482758620689655]","[46.52777777777778, 51.388888888888886, 53.47222222222222, 54.166666666666664, 52.77777777777778, 51.388888888888886, 51.388888888888886, 48.61111111111111, 51.388888888888886, 55.55555555555556]","[0.41509433962264153, 0.47619047619047616, 0.5094339622641509, 0.5294117647058824, 0.5, 0.48148148148148145, 0.47619047619047616, 0.44, 0.475, 0.5416666666666666]","[22, 20, 27, 18, 31, 26, 20, 22, 19, 26]","[45, 54, 50, 60, 45, 48, 54, 48, 55, 54]","[31, 22, 26, 16, 31, 28, 22, 28, 21, 22]","[46, 48, 41, 50, 37, 42, 48, 46, 49, 42]",0.4861111111111111,51.388888888888886,0.4262295081967213,0.48148148148148145,26.0,48.0,28.0,42.0
Random forest,batch normalisation,"[0.19845360824742267, 0.18298969072164947, 0.20822622107969152, 0.21079691516709512, 0.19794344473007713, 0.19023136246786632, 0.20565552699228792, 0.18251928020565553, 0.20565552699228792, 0.20051413881748073]","[0.3958333333333333, 0.4027777777777778, 0.4236111111111111, 0.3958333333333333, 0.3611111111111111, 0.4375, 0.3680555555555556, 0.3958333333333333, 0.4097222222222222, 0.3680555555555556]",Models\RandomForest\20260816_16\batch_normalisation.pkl,1.0,"[0.6956521739130435, 0.7320754716981132, 0.6666666666666666, 0.6917293233082706, 0.6577777777777778, 0.6967213114754098, 0.6694214876033058, 0.6787330316742082, 0.7014925373134329, 0.7045454545454546]","[80.15463917525774, 81.70103092783505, 79.17737789203085, 78.9203084832905, 80.20565552699229, 80.97686375321337, 79.43444730077121, 81.74807197943444, 79.43444730077121, 79.94858611825192]","[0.7857142857142857, 0.8016528925619835, 0.801980198019802, 0.773109243697479, 0.8705882352941177, 0.8415841584158416, 0.7941176470588235, 0.8620689655172413, 0.7768595041322314, 0.775]","[88, 97, 81, 92, 74, 85, 81, 75, 94, 93]","[223, 220, 227, 215, 238, 230, 228, 243, 215, 218]","[24, 24, 20, 27, 11, 16, 21, 12, 27, 27]","[53, 47, 61, 55, 66, 58, 59, 59, 53, 51]",0.18298969072164947,81.70103092783505,0.7320754716981132,0.8016528925619835,97.0,220.0,24.0,47.0,"[0.4, 0.32558139534883723, 0.26506024096385544, 0.32941176470588235, 0.21212121212121213, 0.3076923076923077, 0.4175824175824176, 0.0, 0.3516483516483517, 0.3291139240506329]","[60.416666666666664, 59.72222222222222, 57.638888888888886, 60.416666666666664, 63.888888888888886, 56.25, 63.19444444444444, 60.416666666666664, 59.02777777777778, 63.19444444444444]","[0.48717948717948717, 0.4666666666666667, 0.4074074074074074, 0.4827586206896552, 0.7, 0.4, 0.5428571428571428, 0.0, 0.45714285714285713, 0.5652173913043478]","[19, 14, 11, 14, 7, 14, 19, 0, 16, 13]","[68, 72, 72, 73, 85, 67, 72, 87, 69, 78]","[20, 16, 16, 15, 3, 21, 16, 1, 19, 10]","[37, 42, 45, 42, 49, 42, 37, 56, 40, 43]",0.4027777777777778,59.72222222222222,0.32558139534883723,0.4666666666666667,14.0,72.0,16.0,42.0
Random forest,dropout,"[0.15721649484536082, 0.16237113402061856, 0.14910025706940874, 0.16195372750642673, 0.16709511568123395, 0.17480719794344474, 0.14395886889460155, 0.18766066838046272, 0.19794344473007713, 0.16709511568123395]","[0.2847222222222222, 0.2986111111111111, 0.2777777777777778, 0.3958333333333333, 0.3402777777777778, 0.3888888888888889, 0.375, 0.2916666666666667, 0.2986111111111111, 0.3194444444444444]",Models\RandomForest\20260816_16\dropout.pkl,6.0,"[0.7986798679867987, 0.7773851590106007, 0.7867647058823529, 0.7864406779661017, 0.7703180212014135, 0.7671232876712328, 0.8095238095238095, 0.7286245353159851, 0.7220216606498195, 0.7686832740213523]","[84.27835051546391, 83.76288659793815, 85.08997429305913, 83.80462724935732, 83.29048843187661, 82.51928020565553, 85.60411311053984, 81.23393316195373, 80.20565552699229, 83.29048843187661]","[0.8402777777777778, 0.8270676691729323, 0.8492063492063492, 0.8169014084507042, 0.8257575757575758, 0.8, 0.8561151079136691, 0.8166666666666667, 0.8064516129032258, 0.84375]","[121, 110, 107, 116, 109, 112, 119, 98, 100, 108]","[206, 215, 224, 210, 215, 209, 214, 218, 212, 216]","[23, 23, 19, 26, 23, 28, 20, 22, 24, 20]","[38, 40, 39, 37, 42, 40, 36, 51, 53, 45]",0.14395886889460155,85.60411311053984,0.8095238095238095,0.8561151079136691,119.0,214.0,20.0,36.0,"[0.3880597014925373, 0.21818181818181817, 0.4117647058823529, 0.3870967741935484, 0.2898550724637681, 0.17647058823529413, 0.325, 0.3, 0.37681159420289856, 0.34285714285714286]","[71.52777777777779, 70.13888888888889, 72.22222222222221, 60.416666666666664, 65.97222222222221, 61.111111111111114, 62.5, 70.83333333333334, 70.13888888888889, 68.05555555555556]","[0.40625, 0.3, 0.42424242424242425, 0.3103448275862069, 0.29411764705882354, 0.18181818181818182, 0.28888888888888886, 0.36, 0.38235294117647056, 0.34285714285714286]","[13, 6, 14, 18, 10, 6, 13, 9, 13, 12]","[90, 95, 90, 69, 85, 82, 77, 93, 88, 86]","[19, 14, 19, 40, 24, 27, 32, 16, 21, 23]","[22, 29, 21, 17, 25, 29, 22, 26, 22, 23]",0.375,62.5,0.325,0.28888888888888886,13.0,77.0,32.0,22.0
Random forest,layer normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4236111111111111, 0.44791666666666663, 0.46875, 0.4409722222222222, 0.42708333333333337, 0.4097222222222222, 0.4375, 0.4652777777777778, 0.4791666666666667, 0.41666666666666663]",Models\RandomForest\20260816_16\layer_normalisation.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[195, 190, 188, 199, 193, 187, 193, 194, 188, 190]","[193, 198, 201, 190, 196, 202, 196, 195, 201, 199]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,195.0,193.0,0.0,0.0,"[0.5196850393700787, 0.5151515151515151, 0.4426229508196721, 0.4878048780487805, 0.4918032786885246, 0.4915254237288136, 0.5116279069767442, 0.36538461538461536, 0.46511627906976744, 0.4778761061946903]","[57.638888888888886, 54.861111111111114, 51.388888888888886, 55.55555555555556, 56.94444444444444, 57.638888888888886, 56.25, 52.77777777777778, 51.388888888888886, 57.638888888888886]","[0.4852941176470588, 0.4657534246575342, 0.42857142857142855, 0.46875, 0.47619047619047616, 0.4915254237288136, 0.4714285714285714, 0.4222222222222222, 0.42857142857142855, 0.5]","[33, 34, 27, 30, 30, 29, 33, 19, 30, 27]","[50, 46, 49, 51, 52, 55, 48, 59, 45, 58]","[35, 39, 36, 34, 33, 30, 37, 26, 40, 27]","[26, 25, 32, 29, 29, 30, 26, 40, 29, 32]",0.4236111111111111,57.638888888888886,0.5196850393700787,0.4852941176470588,33.0,50.0,35.0,26.0
Random forest,prune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002570694087403599, 0.0, 0.0]","[0.4444444444444444, 0.4791666666666667, 0.4305555555555556, 0.4513888888888889, 0.4930555555555556, 0.4236111111111111, 0.4166666666666667, 0.4166666666666667, 0.4583333333333333, 0.3888888888888889]",Models\RandomForest\20260816_16\prune.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9978586723768736, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.74293059125964, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[228, 234, 230, 229, 228, 234, 231, 233, 231, 234]","[160, 154, 159, 160, 161, 155, 158, 155, 158, 155]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.0,100.0,1.0,1.0,228.0,160.0,0.0,0.0,"[0.6981132075471698, 0.6461538461538462, 0.6770833333333334, 0.6632124352331606, 0.6358974358974359, 0.6995073891625616, 0.7058823529411765, 0.6808510638297872, 0.6732673267326733, 0.7307692307692307]","[55.55555555555556, 52.083333333333336, 56.94444444444444, 54.861111111111114, 50.69444444444444, 57.638888888888886, 58.333333333333336, 58.333333333333336, 54.166666666666664, 61.111111111111114]","[0.6271186440677966, 0.6237623762376238, 0.6632653061224489, 0.6464646464646465, 0.6138613861386139, 0.6513761467889908, 0.6545454545454545, 0.6808510638297872, 0.6296296296296297, 0.6666666666666666]","[74, 63, 65, 64, 62, 71, 72, 64, 68, 76]","[6, 12, 17, 15, 11, 12, 12, 20, 10, 12]","[44, 38, 33, 35, 39, 38, 38, 30, 40, 38]","[20, 31, 29, 30, 32, 23, 22, 30, 26, 18]",0.4444444444444444,55.55555555555556,0.6981132075471698,0.6271186440677966,74.0,6.0,44.0,20.0
Random forest,weight normalisation,"[0.16494845360824742, 0.16494845360824742, 0.14910025706940874, 0.17223650385604114, 0.16709511568123395, 0.15424164524421594, 0.16452442159383032, 0.15938303341902313, 0.17223650385604114, 0.17480719794344474]","[0.3819444444444444, 0.3888888888888889, 0.3888888888888889, 0.4513888888888889, 0.3819444444444444, 0.3958333333333333, 0.3819444444444444, 0.3541666666666667, 0.4027777777777778, 0.375]",Models\RandomForest\20260816_16\weight_normalisation.pkl,2.0,"[0.8688524590163934, 0.8661087866108786, 0.8811475409836066, 0.8629856850715747, 0.8717948717948718, 0.8770491803278688, 0.8672199170124482, 0.8764940239043825, 0.8629856850715747, 0.8671875]","[83.50515463917526, 83.50515463917526, 85.08997429305913, 82.77634961439588, 83.29048843187661, 84.57583547557842, 83.54755784061697, 84.06169665809769, 82.77634961439588, 82.51928020565553]","[0.8185328185328186, 0.8313253012048193, 0.8464566929133859, 0.8084291187739464, 0.8215613382899628, 0.8326848249027238, 0.8260869565217391, 0.8270676691729323, 0.8146718146718147, 0.8102189781021898]","[212, 207, 215, 211, 221, 214, 209, 220, 211, 222]","[112, 117, 116, 111, 103, 115, 116, 107, 111, 99]","[47, 42, 39, 50, 48, 43, 44, 46, 48, 52]","[17, 22, 19, 17, 17, 17, 20, 16, 19, 16]",0.14910025706940874,85.08997429305913,0.8811475409836066,0.8464566929133859,215.0,116.0,39.0,19.0,"[0.7263681592039801, 0.72, 0.7227722772277227, 0.6486486486486487, 0.7393364928909952, 0.7106598984771574, 0.7342995169082126, 0.7582938388625592, 0.7156862745098039, 0.7476635514018691]","[61.80555555555556, 61.111111111111114, 61.111111111111114, 54.861111111111114, 61.80555555555556, 60.416666666666664, 61.80555555555556, 64.58333333333334, 59.72222222222222, 62.5]","[0.6952380952380952, 0.6923076923076923, 0.6886792452830188, 0.6741573033707865, 0.6782608695652174, 0.693069306930693, 0.6846846846846847, 0.6956521739130435, 0.6759259259259259, 0.6779661016949152]","[73, 72, 73, 60, 78, 70, 76, 80, 73, 80]","[16, 16, 15, 19, 11, 17, 13, 13, 13, 10]","[32, 32, 33, 29, 37, 31, 35, 35, 35, 38]","[23, 24, 23, 36, 18, 26, 20, 16, 23, 16]",0.3888888888888889,61.111111111111114,0.7227722772277227,0.6886792452830188,73.0,15.0,33.0,23.0
Random forest,weight decay,"[0.20618556701030927, 0.20103092783505155, 0.19794344473007713, 0.2236503856041131, 0.20822622107969152, 0.2185089974293059, 0.2159383033419023, 0.2185089974293059, 0.20308483290488433, 0.20051413881748073]","[0.3958333333333333, 0.3888888888888889, 0.3888888888888889, 0.4166666666666667, 0.4166666666666667, 0.3888888888888889, 0.3263888888888889, 0.375, 0.3541666666666667, 0.3680555555555556]",Models\RandomForest\20260816_16\weight_decay.pkl,9.0,"[0.8653198653198653, 0.8686868686868687, 0.8701517706576728, 0.8512820512820513, 0.8638655462184874, 0.8556876061120543, 0.8595317725752508, 0.8547008547008547, 0.8689883913764511, 0.8704318936877077]","[79.38144329896907, 79.89690721649485, 80.20565552699229, 77.6349614395887, 79.17737789203085, 78.1491002570694, 78.40616966580977, 78.1491002570694, 79.69151670951156, 79.94858611825192]","[0.7648809523809523, 0.7771084337349398, 0.7724550898203593, 0.7477477477477478, 0.7626112759643917, 0.7544910179640718, 0.7581120943952803, 0.7552870090634441, 0.7683284457478006, 0.7751479289940828]","[257, 258, 258, 249, 257, 252, 257, 250, 262, 262]","[51, 52, 54, 53, 51, 52, 48, 54, 48, 49]","[79, 74, 76, 84, 80, 82, 82, 81, 79, 76]","[1, 4, 1, 3, 1, 3, 2, 4, 0, 2]",0.20051413881748073,79.94858611825192,0.8704318936877077,0.7751479289940828,262.0,49.0,76.0,2.0,"[0.7420814479638009, 0.7407407407407407, 0.7477477477477478, 0.719626168224299, 0.719626168224299, 0.7431192660550459, 0.7965367965367965, 0.7476635514018691, 0.777292576419214, 0.7601809954751131]","[60.416666666666664, 61.111111111111114, 61.111111111111114, 58.333333333333336, 58.333333333333336, 61.111111111111114, 67.36111111111111, 62.5, 64.58333333333334, 63.19444444444444]","[0.640625, 0.6504065040650406, 0.6434108527131783, 0.6363636363636364, 0.6363636363636364, 0.648, 0.6666666666666666, 0.6611570247933884, 0.6544117647058824, 0.65625]","[82, 80, 83, 77, 77, 81, 92, 80, 89, 84]","[5, 8, 5, 7, 7, 7, 5, 10, 4, 7]","[46, 43, 46, 44, 44, 44, 46, 41, 47, 44]","[11, 13, 10, 16, 16, 12, 1, 13, 4, 9]",0.3680555555555556,63.19444444444444,0.7601809954751131,0.65625,84.0,7.0,44.0,9.0
Random forest,weight perturbation,"[0.21391752577319587, 0.18556701030927836, 0.21079691516709512, 0.17994858611825193, 0.1953727506426735, 0.20051413881748073, 0.1953727506426735, 0.19023136246786632, 0.20565552699228792, 0.19794344473007713]","[0.4583333333333333, 0.4861111111111111, 0.4791666666666667, 0.4236111111111111, 0.4305555555555556, 0.4583333333333333, 0.4236111111111111, 0.4166666666666667, 0.4583333333333333, 0.4305555555555556]",Models\RandomForest\20260816_16\weight_perturbation.pkl,3.0,"[0.7446153846153846, 0.7831325301204819, 0.75, 0.7976878612716763, 0.7816091954022989, 0.7531645569620253, 0.7777777777777778, 0.783625730994152, 0.7590361445783133, 0.7830985915492957]","[78.6082474226804, 81.44329896907216, 78.9203084832905, 82.0051413881748, 80.46272493573264, 79.94858611825192, 80.46272493573264, 80.97686375321337, 79.43444730077121, 80.20565552699229]","[0.7857142857142857, 0.8280254777070064, 0.7784810126582279, 0.8023255813953488, 0.7953216374269005, 0.7986577181208053, 0.8012048192771084, 0.8023952095808383, 0.7974683544303798, 0.7853107344632768]","[121, 130, 123, 138, 136, 119, 133, 134, 126, 139]","[184, 186, 184, 181, 177, 192, 180, 181, 183, 173]","[33, 27, 35, 34, 35, 30, 33, 33, 32, 38]","[50, 45, 47, 36, 41, 48, 43, 41, 48, 39]",0.17994858611825193,82.0051413881748,0.7976878612716763,0.8023255813953488,138.0,181.0,34.0,36.0,"[0.45901639344262296, 0.4696969696969697, 0.5490196078431373, 0.5413533834586466, 0.5866666666666667, 0.5, 0.5611510791366906, 0.6, 0.5147058823529411, 0.5866666666666667]","[54.166666666666664, 51.388888888888886, 52.083333333333336, 57.638888888888886, 56.94444444444444, 54.166666666666664, 57.638888888888886, 58.333333333333336, 54.166666666666664, 56.94444444444444]","[0.5, 0.4696969696969697, 0.4827586206896552, 0.5373134328358209, 0.5238095238095238, 0.5, 0.5342465753424658, 0.5357142857142857, 0.5, 0.5238095238095238]","[28, 31, 42, 36, 44, 33, 39, 45, 35, 44]","[50, 43, 33, 47, 38, 45, 44, 39, 43, 38]","[28, 35, 45, 31, 40, 33, 34, 39, 35, 40]","[38, 35, 24, 30, 22, 33, 27, 21, 31, 22]",0.4236111111111111,57.638888888888886,0.5413533834586466,0.5373134328358209,36.0,47.0,31.0,30.0
svm,baseline,"[0.23195876288659795, 0.22938144329896906, 0.2365038560411311, 0.2416452442159383, 0.2493573264781491, 0.2365038560411311, 0.2570694087403599, 0.2544987146529563, 0.2544987146529563, 0.23393316195372751]","[0.3958333333333333, 0.4027777777777778, 0.4236111111111111, 0.4097222222222222, 0.4236111111111111, 0.4027777777777778, 0.3611111111111111, 0.3958333333333333, 0.3888888888888889, 0.4097222222222222]",Models\SVM\20260816_16\baseline.pkl,1.0,"[0.7272727272727273, 0.7311178247734139, 0.7160493827160493, 0.7202380952380952, 0.7138643067846607, 0.7177914110429447, 0.7076023391812866, 0.7079646017699115, 0.7079646017699115, 0.72]","[76.80412371134021, 77.0618556701031, 76.34961439588689, 75.83547557840618, 75.06426735218508, 76.34961439588689, 74.293059125964, 74.55012853470437, 74.55012853470437, 76.60668380462725]","[0.7272727272727273, 0.7378048780487805, 0.7532467532467533, 0.7076023391812866, 0.7076023391812866, 0.7177914110429447, 0.7076023391812866, 0.718562874251497, 0.6976744186046512, 0.7358490566037735]","[120, 121, 116, 121, 121, 117, 121, 120, 120, 117]","[178, 178, 181, 174, 171, 180, 168, 170, 170, 181]","[45, 43, 38, 50, 50, 46, 50, 47, 52, 42]","[45, 46, 54, 44, 47, 46, 50, 52, 47, 49]",0.22938144329896906,77.0618556701031,0.7311178247734139,0.7378048780487805,121.0,178.0,43.0,46.0,"[0.5581395348837209, 0.5671641791044776, 0.5343511450381679, 0.5426356589147286, 0.5611510791366906, 0.5671641791044776, 0.59375, 0.583941605839416, 0.5942028985507246, 0.5354330708661418]","[60.416666666666664, 59.72222222222222, 57.638888888888886, 59.02777777777778, 57.638888888888886, 59.72222222222222, 63.888888888888886, 60.416666666666664, 61.111111111111114, 59.02777777777778]","[0.5901639344262295, 0.5757575757575758, 0.5555555555555556, 0.5737704918032787, 0.5492957746478874, 0.5757575757575758, 0.6333333333333333, 0.5797101449275363, 0.5857142857142857, 0.576271186440678]","[36, 38, 35, 35, 39, 38, 38, 40, 41, 34]","[51, 48, 48, 50, 44, 48, 54, 47, 47, 51]","[25, 28, 28, 26, 32, 28, 22, 29, 29, 25]","[32, 30, 33, 33, 29, 30, 30, 28, 27, 34]",0.4027777777777778,59.72222222222222,0.5671641791044776,0.5757575757575758,38.0,48.0,28.0,30.0
svm,batch normalisation,"[0.18556701030927836, 0.20876288659793815, 0.18251928020565553, 0.20822622107969152, 0.18766066838046272, 0.20565552699228792, 0.19794344473007713, 0.19023136246786632, 0.20308483290488433, 0.2133676092544987]","[0.5069444444444444, 0.5694444444444444, 0.5763888888888888, 0.5277777777777778, 0.5277777777777778, 0.5486111111111112, 0.5694444444444444, 0.5069444444444444, 0.5347222222222222, 0.5138888888888888]",Models\SVM\20260816_16\batch_normalisation.pkl,2.0,"[0.7410071942446043, 0.6896551724137931, 0.7436823104693141, 0.7137809187279152, 0.7286245353159851, 0.7241379310344828, 0.7259786476868327, 0.7394366197183099, 0.7106227106227107, 0.6891385767790262]","[81.44329896907216, 79.12371134020619, 81.74807197943444, 79.17737789203085, 81.23393316195373, 79.43444730077121, 80.20565552699229, 80.97686375321337, 79.69151670951156, 78.66323907455013]","[0.7518248175182481, 0.7377049180327869, 0.7686567164179104, 0.7372262773722628, 0.7538461538461538, 0.7291666666666666, 0.7338129496402878, 0.7446808510638298, 0.7404580152671756, 0.7301587301587301]","[103, 90, 103, 101, 98, 105, 102, 105, 97, 92]","[213, 217, 215, 207, 218, 204, 210, 210, 213, 214]","[34, 32, 31, 36, 32, 39, 37, 36, 34, 34]","[38, 49, 40, 45, 41, 41, 40, 38, 45, 49]",0.18251928020565553,81.74807197943444,0.7436823104693141,0.7686567164179104,103.0,215.0,31.0,40.0,"[0.1411764705882353, 0.06818181818181818, 0.10752688172043011, 0.09523809523809523, 0.11627906976744186, 0.07058823529411765, 0.06818181818181818, 0.12048192771084337, 0.15384615384615385, 0.11904761904761904]","[49.30555555555556, 43.05555555555556, 42.36111111111111, 47.22222222222222, 47.22222222222222, 45.13888888888889, 43.05555555555556, 49.30555555555556, 46.52777777777778, 48.61111111111111]","[0.20689655172413793, 0.09375, 0.13513513513513514, 0.14285714285714285, 0.16666666666666666, 0.10344827586206896, 0.09375, 0.18518518518518517, 0.2, 0.17857142857142858]","[6, 3, 5, 4, 5, 3, 3, 5, 7, 5]","[65, 59, 56, 64, 63, 62, 59, 66, 60, 65]","[23, 29, 32, 24, 25, 26, 29, 22, 28, 23]","[50, 53, 51, 52, 51, 53, 53, 51, 49, 51]",0.5763888888888888,42.36111111111111,0.10752688172043011,0.13513513513513514,5.0,56.0,32.0,51.0
