dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Ann thyroid,21.0,1.0,6416.0,3.0,305.5238095238095,0.1428571428571428,2138.6666666666665,0.0251010781671159,0.9047619047619048,0.0270243706272861,0.0,0.2344740487899621,1.0273928406663897,-0.4497805920901787,-1,5,4,1,3,3,1,2,2
Car evaluation,6.0,1.0,518.0,3.0,86.33333333333333,0.5,172.66666666666666,0.1692708333333333,0.0,0.0666915567454591,0.0,0.1603448023852709,1.068965712056928,0.8764804656164826,-1,4,3,3,3,2,1,1,2
Car evaluation,6.0,1.0,1663.0,3.0,277.1666666666667,0.5,554.3333333333334,0.0570247933884297,0.0,0.067678387697435,0.0025042895255817,0.158671469182023,1.0700211211777308,0.7284340642056562,-1,3,5,3,4,1,2,2,3
Car evaluation,6.0,1.0,1275.0,2.0,212.5,0.3333333333333333,637.5,0.0537190082644628,0.0,0.0320560216304906,0.0009691850527067,0.077290505114135,1.0325753502395445,0.0470830047750234,-1,3,5,4,3,4,3,1,2
Car evaluation,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0859168334752809,0.0,0.1869294860386592,1.089715696668998,0.945499898084598,3,1,1,1,1,2,1,1,1
Car evaluation,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0592775406031278,0.0,0.1869294860386592,1.0610696897991518,1.8198064405035488,6,5,1,4,3,1,1,2,4
Car evaluation,3.0,1.0,1728.0,4.0,576.0,1.3333333333333333,432.0,0.0537190082644628,0.0,0.0953291194058301,0.0678334381269571,0.1479710965620042,1.1000208337589468,1.922352788803935,4,2,3,2,3,2,1,2,3
Car evaluation,4.0,1.0,1728.0,4.0,432.0,1.0,432.0,0.0537190082644628,0.0,0.07763592697349,0.0269422904069152,0.164405209618879,1.0807291227139728,1.6912667447602392,5,3,3,3,4,2,1,2,3
Car evaluation,4.0,1.0,1728.0,4.0,432.0,1.0,432.0,0.0537190082644628,0.0,0.0737320140116815,0.0269422904069152,0.1487895577716449,1.0765182750230098,1.8337621216922888,4,3,2,3,3,2,1,2,3
Car evaluation,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0592775406031278,0.0,0.1869294860386592,1.0610696897991518,1.8198064405035488,4,3,2,3,3,2,1,3,3
