model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,prune,"[0.2986111111111111, 0.3090277777777778, 0.7083333333333334, 0.3125, 0.7118055555555556]",0.35555555555555557,Models\NN\20260505_16\prune.pt,"[70.13888888888889, 69.09722222222221, 29.166666666666668, 68.75, 28.819444444444443]","[0.0, 0.0, 0.45161290322580644, 0.0, 0.4474393530997305]",0.0,252.0,0.0,108.0,64.44444444444444,0.0,0.0,87.0,0.0,48.0
Neural Network,weight normalisation,"[0.3090277777777778, 0.7256944444444444, 0.2881944444444444, 0.6944444444444444, 0.6944444444444444]",0.25925925925925924,Models\NN\20260505_16\weight_normalisation.pt,"[69.09722222222221, 27.430555555555557, 71.18055555555556, 30.555555555555557, 30.555555555555557]","[0.0, 0.4305177111716621, 0.0, 0.4350282485875706, 0.46808510638297873]",0.0,255.0,0.0,105.0,74.07407407407408,0.0,0.0,100.0,0.0,35.0
Neural Network,weight decay,"[0.2152777777777778, 0.2222222222222222, 0.25, 0.2361111111111111, 0.2152777777777778]",0.35555555555555557,Models\NN\20260505_16\weight_decay.pt,"[78.47222222222221, 77.77777777777779, 75.0, 76.38888888888889, 78.47222222222221]","[0.45614035087719296, 0.6, 0.6, 0.5802469135802469, 0.5866666666666667]",47.0,229.0,14.0,70.0,64.44444444444444,0.45454545454545453,20.0,67.0,25.0,23.0
Neural Network,weight perturbation,"[0.16319444444444445, 0.15625, 0.1701388888888889, 0.16319444444444445, 0.18055555555555555]",0.1925925925925926,Models\NN\20260505_16\weight_perturbation.pt,"[83.68055555555556, 84.375, 82.98611111111111, 83.68055555555556, 81.94444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,300.0,0.0,60.0,80.74074074074075,0.0,0.0,109.0,0.0,26.0
Random forest,baseline,"[0.14506172839506173, 0.15123456790123457, 0.14506172839506173, 0.14814814814814814, 0.15432098765432098, 0.12962962962962962, 0.1388888888888889, 0.1419753086419753, 0.1388888888888889, 0.15123456790123457]",0.17777777777777778,Models\RandomForest\20260505_May\baseline.pkl,"[85.49382716049382, 84.87654320987654, 85.49382716049382, 85.18518518518519, 84.5679012345679, 87.03703703703704, 86.11111111111111, 85.80246913580247, 86.11111111111111, 84.87654320987654]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,308.0,0.0,52.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
Random forest,batch normalisation,"[0.2654320987654321, 0.25308641975308643, 0.25308641975308643, 0.2623456790123457, 0.25308641975308643, 0.25925925925925924, 0.2777777777777778, 0.2623456790123457, 0.2716049382716049, 0.25308641975308643]",0.08888888888888889,Models\RandomForest\20260505_May\batch_normalisation.pkl,"[73.4567901234568, 74.69135802469135, 74.69135802469135, 73.76543209876543, 74.69135802469135, 74.07407407407408, 72.22222222222221, 73.76543209876543, 72.8395061728395, 74.69135802469135]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,266.0,0.0,94.0,91.11111111111111,0.0,0.0,123.0,0.0,12.0
Random forest,dropout,"[0.11419753086419752, 0.12345679012345678, 0.12345679012345678, 0.12037037037037036, 0.11728395061728394, 0.1111111111111111, 0.10802469135802469, 0.11419753086419752, 0.12037037037037036, 0.11419753086419752]",0.08148148148148149,Models\RandomForest\20260505_May\dropout.pkl,"[88.58024691358025, 87.65432098765432, 87.65432098765432, 87.96296296296296, 88.27160493827161, 88.88888888888889, 89.19753086419753, 88.58024691358025, 87.96296296296296, 88.58024691358025]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,318.0,0.0,42.0,91.85185185185185,0.0,0.0,124.0,0.0,11.0
Random forest,layer normalisation,"[0.1388888888888889, 0.13580246913580246, 0.13271604938271606, 0.13271604938271606, 0.12654320987654322, 0.1388888888888889, 0.1111111111111111, 0.12654320987654322, 0.12345679012345678, 0.1388888888888889]",0.4444444444444444,Models\RandomForest\20260505_May\layer_normalisation.pkl,"[86.11111111111111, 86.41975308641975, 86.72839506172839, 86.72839506172839, 87.34567901234568, 86.11111111111111, 88.88888888888889, 87.34567901234568, 87.65432098765432, 86.11111111111111]","[0.6564885496183206, 0.6944444444444444, 0.6861313868613139, 0.6906474820143885, 0.6771653543307087, 0.6666666666666666, 0.7272727272727273, 0.7007299270072993, 0.696969696969697, 0.6762589928057554]",51.0,262.0,9.0,38.0,55.55555555555556,0.03225806451612903,1.0,74.0,14.0,46.0
Random forest,prune,"[0.21296296296296297, 0.2345679012345679, 0.2191358024691358, 0.21604938271604937, 0.2345679012345679, 0.23148148148148148, 0.22839506172839505, 0.21604938271604937, 0.2191358024691358, 0.22530864197530864]",0.35555555555555557,Models\RandomForest\20260505_May\prune.pkl,"[78.70370370370371, 76.5432098765432, 78.08641975308642, 78.39506172839506, 76.5432098765432, 76.85185185185185, 77.1604938271605, 78.39506172839506, 78.08641975308642, 77.46913580246914]","[0.5306122448979592, 0.5, 0.5644171779141104, 0.5454545454545454, 0.5581395348837209, 0.5454545454545454, 0.5487804878048781, 0.5625, 0.4892086330935252, 0.5575757575757576]",44.0,236.0,16.0,64.0,64.44444444444444,0.0,0.0,87.0,0.0,48.0
Random forest,weight normalisation,"[0.2222222222222222, 0.22530864197530864, 0.2191358024691358, 0.2222222222222222, 0.20987654320987653, 0.21604938271604937, 0.21604938271604937, 0.2222222222222222, 0.2222222222222222, 0.2191358024691358]",0.25925925925925924,Models\RandomForest\20260505_May\weight_normalisation.pkl,"[77.77777777777779, 77.46913580246914, 78.08641975308642, 77.77777777777779, 79.01234567901234, 78.39506172839506, 78.39506172839506, 77.77777777777779, 77.77777777777779, 78.08641975308642]","[0.5263157894736842, 0.496551724137931, 0.5234899328859061, 0.52, 0.5526315789473685, 0.5, 0.5138888888888888, 0.52, 0.5384615384615384, 0.5170068027210885]",43.0,238.0,17.0,62.0,74.07407407407408,0.0,0.0,100.0,0.0,35.0
Random forest,weight decay,"[0.23765432098765432, 0.2191358024691358, 0.23765432098765432, 0.22530864197530864, 0.22839506172839505, 0.21604938271604937, 0.23148148148148148, 0.20987654320987653, 0.22530864197530864, 0.23765432098765432]",0.3333333333333333,Models\RandomForest\20260505_May\weight_decay.pkl,"[76.23456790123457, 78.08641975308642, 76.23456790123457, 77.46913580246914, 77.1604938271605, 78.39506172839506, 76.85185185185185, 79.01234567901234, 77.46913580246914, 76.23456790123457]","[0.5443786982248521, 0.5798816568047337, 0.5649717514124294, 0.5100671140939598, 0.5842696629213483, 0.5930232558139535, 0.6192893401015228, 0.6421052631578947, 0.5828571428571429, 0.5497076023391813]",45.0,228.0,15.0,72.0,66.66666666666666,0.3835616438356164,14.0,76.0,16.0,29.0
Random forest,weight perturbation,"[0.1728395061728395, 0.1574074074074074, 0.1697530864197531, 0.16358024691358025, 0.16666666666666666, 0.16358024691358025, 0.16666666666666666, 0.16666666666666666, 0.1697530864197531, 0.1697530864197531]",0.1925925925925926,Models\RandomForest\20260505_May\weight_perturbation.pkl,"[82.71604938271605, 84.25925925925925, 83.0246913580247, 83.64197530864197, 83.33333333333334, 83.64197530864197, 83.33333333333334, 83.33333333333334, 83.0246913580247, 83.0246913580247]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,300.0,0.0,60.0,80.74074074074075,0.0,0.0,109.0,0.0,26.0
