dataset_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,1,0,0,0,0,0,0,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,1,0,1,1,0,0,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,1,0,0,1,1,0,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,1,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,1,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,1,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
