dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\4031631017_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.1389793702497285,10.0,1.0,921.0,2.0,92.1,0.2,460.5,0.2935393258426966,0.0,0.0259424435608484,0.0,0.0564811109893874,1.0262818776430622,1.064326612450485,-0.0004849285835569,0.0004871721802616,0.00146988372271,0.0068258576272908,7.0,5.157518783291051,2.9,0.9433981132056604,15.727272727272728,2.2903774627080864,0.2051573772322161,0.0520942068003753,1,1,1,2,2,2,1,2
Mofn_3_7_10,,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,10.0,1.0,1024.0,2.0,102.4,0.2,512.0,0.2929292929292929,0.0,0.0265489598530806,0.0,0.0586383146306113,1.0269045231255027,1.0154811951615694,-0.0004927123947577,0.0002180499882794,0.0009542353703695,0.0023352580625747,70.3,98.03167855341457,2.3,0.6403124237432849,17.600896860986545,1.5975525362154448,0.1415708228523238,0.0152497156781066,2,2,1,2,2,3,2,2
Page Blocks,Data\Input\Subsets\Page Blocks\3608155466_20260528_183258.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.0031802822500496,10.0,1.0,5031.0,3.0,503.1,0.3,1677.0,0.0057271425649417,1.0,0.0352757843578799,0.0209210175680245,0.0693500934162962,1.0359053559027134,-0.5959555523116902,-0.0001463424563407,5.491590674285703e-05,0.0054291212855732,0.0044037628302801,46.1,8.676981041814024,2.0,0.0,13.484959647835655,2.857532699101243,0.2471304549269176,0.0558393991333652,1,1,2,2,1,2,2,1
Page Blocks,Data\Input\Subsets\Page Blocks\2213627241_20260528_183258.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.0029940119760479,10.0,1.0,5344.0,4.0,534.4,0.4,1336.0,0.0057271425649417,1.0,0.103614877655582,0.0415061810536347,0.2138264718686984,1.1091732052639929,-0.6552643871933943,-0.0003210745155811,2.7966756431866637e-05,0.0064332407321509,0.0010399081485998,29.0,9.869143833180262,3.0,0.7745966692414834,10.456521739130435,1.0719005571660305,0.302420074738886,0.0079974916853548,1,1,1,1,1,1,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\1350166651_20260528_183258.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.0030097817908201,10.0,1.0,5316.0,3.0,531.6,0.3,1772.0,0.0233176518715483,1.0,0.0917410639111161,0.0291362374784804,0.1901452493646387,1.0960809704131038,-0.6444720920667634,-0.0003005179166793,2.7062248294326644e-05,0.0060848167486772,0.001739963483498,26.7,8.391066678319271,3.4,0.4898979485566356,11.958914159941306,0.9498196526886132,0.2779962318134238,0.0113208621247582,1,1,1,2,1,1,2,1
Page Blocks,Data\Input\Subsets\Page Blocks\2156051683_20260528_183258.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.0469208211143695,10.0,1.0,341.0,2.0,34.1,0.2,170.5,0.0894568690095846,0.9,0.1580480248555222,0.0437893270183304,0.2721026226613967,1.1712224411455656,-0.8203734672145332,-0.0018125157952308,0.0002727817174465,0.0,0.0,200.0,0.0,12.3,1.004987562112089,18.15007429420505,0.4458271378507437,0.169591165281954,0.0030935131352295,1,1,1,1,1,2,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\3553554837_20260528_183259.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.0029750836742283,10.0,1.0,5378.0,4.0,537.8,0.4,1344.5,0.012681529965228,1.0,0.1135165640263299,0.0372190973728741,0.2062160819161849,1.1202104439339953,-0.6605628450801909,-0.0003409225344657,4.789623724099117e-05,0.0035058294908933,0.0024966107583078,28.1,9.159148432032314,3.2,0.8717797887081347,10.768115942028986,1.1245667092502225,0.2923563271847323,0.0103575526069116,2,1,2,3,2,1,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\795885667_20260528_183259.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.002959674435812,9.0,1.0,5406.0,5.0,600.6666666666666,0.5555555555555556,1081.2,0.0057271425649417,1.0,0.1316547436457668,0.0578579687402798,0.228459523875983,1.1407144123724815,-0.6491266083466845,-0.000349985897541,4.702886813766893e-05,0.0067015736942985,0.0013754884792404,25.8,5.418486873657626,2.5,0.806225774829855,10.355819125277984,1.1612725972806943,0.3052648014143894,0.0115978284512057,1,1,1,3,1,1,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\1009017429_20260528_183259.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.002959674435812,6.0,1.0,5406.0,5.0,901.0,0.8333333333333334,1081.2,0.0057271425649417,1.0,0.1408124975071253,0.0751115679192802,0.225498191703523,1.1512087732320493,-0.5079185379703192,-0.0003225147128105,3.536994726282036e-05,0.0058007785275387,0.0020868785781522,36.8,12.351518125315607,2.2,0.6,12.390041493775934,0.86883646906209,0.3107026413070711,0.0125195979065366,1,1,2,3,2,1,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\2233709813_20260528_183259.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.002959674435812,6.0,1.0,5406.0,5.0,901.0,0.8333333333333334,1081.2,0.0057271425649417,1.0,0.1355917220273637,0.0560649567599531,0.225498191703523,1.1452142323884398,-0.4889716082271353,-0.000357625812292,7.41330679847957e-05,-0.0027582956271708,0.0017937850517809,26.0,8.774964387392123,2.9,1.374772708486752,9.302904564315352,0.8109459323602821,0.353754813893702,0.0232981901833646,2,1,1,3,1,1,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\467450381_20260528_183300.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.002959674435812,6.0,1.0,5406.0,5.0,901.0,0.8333333333333334,1081.2,0.0057271425649417,1.0,0.1434932065937004,0.0751115679192802,0.225498191703523,1.1542989691585832,-0.5171114975390132,-0.0003105154633522,9.345875723544543e-05,0.0038467558087024,0.001943150044451,39.3,10.198529305738155,2.2,0.6,11.053941908713693,1.7026813083129844,0.3018712497548938,0.0417950383026342,1,1,1,2,2,2,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\1936826761_20260528_183300.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.002959674435812,7.0,1.0,5406.0,5.0,772.2857142857143,0.7142857142857143,1081.2,0.0057271425649417,1.0,0.130591225329979,0.0512689065334319,0.2230594409153004,1.1395018865878184,-0.5452031801396978,-0.0003118486106395,2.428523096029332e-05,0.0048712944186239,0.0008881782418705,36.9,10.755928597754822,2.6,0.4898979485566356,9.704708699122108,0.9723539926906966,0.3043171127224958,0.0109216591189023,1,1,1,3,1,1,1,2
Page Blocks,Data\Input\Subsets\Page Blocks\925775506_20260528_183300.csv,16.0,0.0005,200.0,2.0,32.0,16.0,48.0,64.0,0.0625,0.0182857142857142,10.0,1.0,875.0,4.0,87.5,0.4,218.75,0.0125628140703517,1.0,0.1023259603958418,0.0357216154077772,0.1922639674086401,1.1077444937189656,-0.6259468439382257,-0.0027750242352485,0.0001362032625996,0.0173739107818299,0.0036055759857188,107.2,40.19651726207135,9.2,2.0396078054371136,13.971014492753625,1.3376583916287488,0.2127132549763158,0.0083582915565463,1,1,1,2,1,1,1,1
