model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Random forest,weight decay,"[0.18518518518518517, 0.17901234567901234, 0.19444444444444445, 0.17901234567901234, 0.17901234567901234, 0.19444444444444445, 0.18209876543209877, 0.17901234567901234, 0.1728395061728395, 0.21296296296296297]",0.37037037037037035,Models\RandomForest\20260420_Apr\weight_decay.pkl,"[81.48148148148148, 82.09876543209876, 80.55555555555556, 82.09876543209876, 82.09876543209876, 80.55555555555556, 81.79012345679013, 82.09876543209876, 82.71604938271605, 78.70370370370371]","[0.5577689243027888, 0.5677290836653387, 0.5774783445620789, 0.5448717948717948, 0.558766859344894, 0.5383848454636092, 0.6970509383378016, 0.5410821643286573, 0.5859375, 0.4468718967229394]",59.0,226.0,17.0,58.0,62.96296296296296,0.3755868544600939,16.0,69.0,23.0,27.0
Random forest,weight perturbation,"[0.1728395061728395, 0.1574074074074074, 0.1697530864197531, 0.16358024691358025, 0.16666666666666666, 0.16358024691358025, 0.16666666666666666, 0.16666666666666666, 0.1697530864197531, 0.1697530864197531]",0.1925925925925926,Models\RandomForest\20260420_Apr\weight_perturbation.pkl,"[82.71604938271605, 84.25925925925925, 83.0246913580247, 83.64197530864197, 83.33333333333334, 83.64197530864197, 83.33333333333334, 83.33333333333334, 83.0246913580247, 83.0246913580247]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,300.0,0.0,60.0,80.74074074074075,0.0,0.0,109.0,0.0,26.0
svm,baseline,"[0.033950617283950615, 0.030864197530864196, 0.033950617283950615, 0.030864197530864196, 0.040123456790123455, 0.046296296296296294, 0.033950617283950615, 0.037037037037037035, 0.046296296296296294, 0.030864197530864196]",0.37777777777777777,Models\SVM\20260420_Apr\baseline.pkl,"[96.60493827160494, 96.91358024691358, 96.60493827160494, 96.91358024691358, 95.98765432098766, 95.37037037037037, 96.60493827160494, 96.29629629629629, 95.37037037037037, 96.91358024691358]","[0.8351648351648352, 0.8733624454148472, 0.8387096774193549, 0.8733624454148472, 0.7572383073496659, 0.8, 0.8387096774193549, 0.8008658008658008, 0.7910750507099391, 0.8333333333333334]",41.0,304.0,4.0,11.0,62.22222222222222,0.41509433962264153,11.0,73.0,38.0,13.0
svm,batch normalisation,"[0.08333333333333333, 0.09567901234567901, 0.09567901234567901, 0.09567901234567901, 0.10493827160493827, 0.10185185185185185, 0.09876543209876543, 0.08950617283950617, 0.09259259259259259, 0.09876543209876543]",0.2740740740740741,Models\SVM\20260420_Apr\batch_normalisation.pkl,"[91.66666666666666, 90.4320987654321, 90.4320987654321, 90.4320987654321, 89.50617283950618, 89.81481481481481, 90.12345679012346, 91.0493827160494, 90.74074074074075, 90.12345679012346]","[0.8143712574850299, 0.7615480649188514, 0.7701564380264742, 0.7151664611590629, 0.7666666666666667, 0.7305389221556886, 0.7870370370370371, 0.7558859975216853, 0.7936507936507936, 0.7251908396946565]",69.0,256.0,10.0,25.0,72.5925925925926,0.5369127516778524,8.0,90.0,33.0,4.0
svm,dropout,"[0.15432098765432098, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.1728395061728395, 0.1388888888888889, 0.15432098765432098, 0.1728395061728395, 0.16049382716049382, 0.17592592592592593]",0.08148148148148149,Models\SVM\20260420_Apr\dropout.pkl,"[84.5679012345679, 83.33333333333334, 82.4074074074074, 81.48148148148148, 82.71604938271605, 86.11111111111111, 84.5679012345679, 82.71604938271605, 83.9506172839506, 82.4074074074074]","[0.053475935828877004, 0.055248618784530384, 0.05249343832020997, 0.0, 0.026455026455026454, 0.03134796238244514, 0.028735632183908046, 0.029585798816568046, 0.027932960893854747, 0.027548209366391185]",1.0,297.0,21.0,41.0,91.85185185185185,0.0,0.0,124.0,0.0,11.0
svm,layer normalisation,"[0.08950617283950617, 0.1111111111111111, 0.10185185185185185, 0.08950617283950617, 0.1111111111111111, 0.10802469135802469, 0.1111111111111111, 0.09567901234567901, 0.09259259259259259, 0.10185185185185185]",0.34814814814814815,Models\SVM\20260420_Apr\layer_normalisation.pkl,"[91.0493827160494, 88.88888888888889, 89.81481481481481, 91.0493827160494, 88.88888888888889, 89.19753086419753, 88.88888888888889, 90.4320987654321, 90.74074074074075, 89.81481481481481]","[0.7711757269279393, 0.707196029776675, 0.6914212548015365, 0.7248322147651006, 0.6723716381418093, 0.7082833133253301, 0.6623376623376623, 0.6851119894598156, 0.7012987012987013, 0.6490066225165563]",60.0,263.0,8.0,29.0,65.18518518518519,0.0,0.0,88.0,0.0,47.0
svm,prune,"[0.06481481481481481, 0.05246913580246913, 0.04938271604938271, 0.05246913580246913, 0.05246913580246913, 0.05555555555555555, 0.046296296296296294, 0.05864197530864197, 0.06172839506172839, 0.05864197530864197]",0.4740740740740741,Models\SVM\20260420_Apr\prune.pkl,"[93.51851851851852, 94.75308641975309, 95.06172839506173, 94.75308641975309, 94.75308641975309, 94.44444444444444, 95.37037037037037, 94.1358024691358, 93.82716049382715, 94.1358024691358]","[0.8446298227320125, 0.88016967126193, 0.8859470468431772, 0.8775731310942578, 0.8944723618090452, 0.8757637474541752, 0.8962739174219537, 0.8681672025723473, 0.8777120315581854, 0.8487486398258978]",93.0,246.0,6.0,15.0,52.59259259259259,0.4098360655737705,20.0,51.0,36.0,28.0
svm,weight normalisation,"[0.15123456790123457, 0.14814814814814814, 0.1419753086419753, 0.16358024691358025, 0.1574074074074074, 0.14814814814814814, 0.1574074074074074, 0.15432098765432098, 0.16666666666666666, 0.1697530864197531]",0.2740740740740741,Models\SVM\20260420_Apr\weight_normalisation.pkl,"[84.87654320987654, 85.18518518518519, 85.80246913580247, 83.64197530864197, 84.25925925925925, 85.18518518518519, 84.25925925925925, 84.5679012345679, 83.33333333333334, 83.0246913580247]","[0.6019007391763463, 0.6108597285067874, 0.6111111111111112, 0.6096256684491979, 0.6296691568836713, 0.6223175965665236, 0.6024096385542169, 0.6138392857142857, 0.625, 0.5989304812834224]",62.0,241.0,14.0,43.0,72.5925925925926,0.06230529595015576,2.0,96.0,4.0,33.0
svm,weight decay,"[0.10493827160493827, 0.10802469135802469, 0.1111111111111111, 0.10802469135802469, 0.1111111111111111, 0.09259259259259259, 0.11728395061728394, 0.09876543209876543, 0.10493827160493827, 0.11419753086419752]",0.34074074074074073,Models\SVM\20260420_Apr\weight_decay.pkl,"[89.50617283950618, 89.19753086419753, 88.88888888888889, 89.19753086419753, 88.88888888888889, 90.74074074074075, 88.27160493827161, 90.12345679012346, 89.50617283950618, 88.58024691358025]","[0.7800751879699248, 0.7751196172248804, 0.7630522088353414, 0.7670182166826462, 0.7581573896353166, 0.8173076923076923, 0.792910447761194, 0.7613168724279835, 0.7596153846153846, 0.7459867799811143]",86.0,233.0,10.0,31.0,65.92592592592592,0.74235807860262,34.0,55.0,37.0,9.0
svm,weight perturbation,"[0.04938271604938271, 0.05864197530864197, 0.05864197530864197, 0.06172839506172839, 0.06790123456790123, 0.05864197530864197, 0.06481481481481481, 0.06481481481481481, 0.06172839506172839, 0.06172839506172839]",0.3333333333333333,Models\SVM\20260420_Apr\weight_perturbation.pkl,"[95.06172839506173, 94.1358024691358, 94.1358024691358, 93.82716049382715, 93.20987654320987, 94.1358024691358, 93.51851851851852, 93.51851851851852, 93.82716049382715, 93.82716049382715]","[0.76, 0.7485604606525912, 0.7532956685499058, 0.7677902621722846, 0.7380073800738007, 0.7372400756143668, 0.718132854578097, 0.7293666026871402, 0.7142857142857143, 0.7299270072992701]",43.0,295.0,5.0,17.0,66.66666666666666,0.11583011583011583,3.0,87.0,22.0,23.0
