target,employment_type,job_title,salary,salary_in_usd,company_size
4,2,88,-0.04377536933347743,757,1
3,2,25,-0.005403389286473596,872,1
3,2,25,-0.09947663069203137,563,1
4,2,31,-0.08957418422828846,602,1
4,2,31,-0.14651325139481028,362,1
4,2,37,-0.17993400820994263,240,1
4,2,37,-0.20097670694539635,153,1
4,2,25,-0.12423274685138869,460,1
4,2,4,-0.09947663069203137,563,1
4,2,4,-0.1527022804346496,346,1
3,2,25,-0.06234245645299541,705,1
3,2,25,-0.12175713523545295,470,1
4,2,45,0.11033145375852184,1003,1
4,2,45,0.042994817805069946,950,1
3,2,47,-0.0809095435725134,639,1
3,2,47,-0.13661080493106734,402,1
4,2,33,-0.07831015137578087,649,1
1,2,33,-0.11791993723075257,483,1
1,2,33,-0.16891753651902863,287,1
4,2,33,-0.051944887666065344,735,1
4,2,33,-0.13017421472963445,434,1
3,2,25,-0.13661080493106734,402,1
3,2,33,-0.17374497917010331,339,1
3,2,33,-0.2015956098493803,199,1
3,2,33,-0.14279983397090668,379,1
3,2,57,-0.09947663069203137,563,0
4,2,47,-0.0066411950944414615,868,1
4,2,89,-0.08550427873169011,620,1
4,2,89,-0.1437999810637447,373,1
4,2,34,-0.03263511706176664,793,1
4,2,34,-0.08338515518844912,630,1
4,2,25,-0.1923120662896213,187,1
4,2,4,0.08037655320569949,985,1
4,2,4,-0.03325401996575057,791,1
3,2,25,-0.16755595013026398,292,1
3,2,25,-0.17993400820994263,240,1
3,2,66,-0.06234245645299541,705,1
3,2,66,-0.07843393195657766,648,1
3,2,90,-0.13661080493106734,293,0
3,2,47,1.4725367454271578,41,0
1,2,2,-0.17374497917010331,270,0
1,2,1,-0.16136692109042466,315,1
3,2,62,1.5963173262239443,48,0
3,2,69,-0.07472051453267407,663,1
2,2,33,0.0006791884538804951,885,1
2,2,33,-0.11593449671477211,496,1
1,2,89,-0.07472051453267407,663,1
1,2,89,-0.13661080493106734,402,1
1,2,25,-0.18612303724978196,209,1
3,2,4,-0.03053084718822127,800,1
3,2,4,-0.056153427413156085,721,1
4,2,25,-0.05120220418128462,736,1
4,2,25,-0.12349006336660796,464,1
4,2,40,-0.02149486479005585,829,1
4,2,40,-0.0909976609074515,596,1
4,2,69,-0.08771747551633666,610,1
4,2,69,-0.12497543033616941,459,1
4,2,33,0.08124301727127699,986,1
4,2,33,-0.0394430490055899,767,1
3,2,47,-0.1923120662896213,205,1
3,2,47,-0.20469012436929995,154,1
3,2,33,-0.17374497917010331,295,1
3,2,33,-0.20469012436929995,154,1
4,2,69,-0.06110465064502755,837,1
4,2,69,-0.1572821619241307,406,1
4,2,33,-0.12089067116987545,597,1
4,2,33,-0.1572821619241307,406,1
4,2,14,-0.09947663069203137,563,0
3,2,44,-0.07472051453267407,663,1
4,2,66,0.061438124343791145,971,1
4,2,66,-0.12423274685138869,460,1
4,2,4,-0.04996439837331675,738,1
4,2,4,-0.09947663069203137,563,1
4,2,69,-0.057638794382717524,718,1
4,2,69,-0.10442785392390284,543,1
3,2,47,-0.10102388795199121,558,1
3,2,47,-0.1288745186312682,442,1
2,2,33,-0.05305891289323642,730,1
2,2,33,-0.1285650671792762,444,1
4,2,31,-0.027064990925911244,811,1
4,2,31,-0.11556810619561363,500,1
4,2,25,0.04906006626411249,960,1
4,2,25,-0.08957418422828846,602,1
3,2,25,-0.09947663069203137,563,1
3,2,25,-0.13661080493106734,402,1
4,2,52,-0.11804371781154936,527,0
4,2,11,-0.06234245645299541,705,1
4,2,11,-0.09328760165219205,589,1
3,2,45,-0.13104067879521195,426,1
3,2,45,-0.17374497917010331,270,1
3,2,42,-0.148988863010746,355,1
3,2,42,-0.17374497917010331,270,1
3,2,89,-0.03139731125379877,797,1
3,2,89,-0.10566565973187071,538,1
4,2,25,-0.10319004811593498,548,1
4,2,25,-0.14403763977887454,372,1
4,2,47,0.00022862713978019202,884,1
4,2,47,-0.07063575536638012,679,1
3,2,47,-0.012830224134280789,851,1
3,2,47,-0.07472051453267407,663,1
4,2,25,-0.060485747741043615,712,1
4,2,25,-0.11247359167569397,508,1
4,2,47,-0.0762677717926339,655,1
4,2,30,-0.13042177589122803,432,1
4,2,30,-0.15517789205058533,338,1
4,2,89,0.005736862985237194,897,1
4,2,89,-0.07930039602215518,647,1
1,2,1,-0.012830224134280789,896,0
3,2,33,-0.17126936755416758,277,1
3,2,33,-0.18612303724978196,209,1
4,2,69,-0.07051197478558333,680,1
4,2,69,-0.1085126130901968,523,1
3,2,33,0.061438124343791145,971,1
3,2,33,-0.04377536933347743,757,1
