target,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size
4,2,33,-0.06234245645299541,19,705,-1.04837274073339,1
3,2,69,0.11095035666250577,19,1004,-1.04837274073339,1
3,2,69,0.04906006626411249,19,960,-1.04837274073339,1
4,2,47,0.021828338488819446,19,924,-1.04837274073339,1
4,2,47,-0.030159505445830907,19,803,-1.04837274073339,1
4,2,47,-0.025208282213959446,19,818,-1.04837274073339,1
3,2,88,0.024303950104755178,19,927,-1.04837274073339,1
3,2,88,-0.012830224134280789,19,851,-1.04837274073339,1
4,2,31,-0.0375863402936381,19,779,1.0282812738738005,1
4,2,31,-0.11804371781154936,19,481,1.0282812738738005,1
4,2,31,-0.012830224134280789,19,851,1.0282812738738005,1
