work_year,target,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size
0.933090760892103,4,-0.00849790380639326,19,864,75,70,1
0.933090760892103,4,-0.07224490291673834,19,672,75,70,1
0.933090760892103,4,0.035444202376465964,19,939,75,70,0
0.933090760892103,4,-0.10826505192860322,19,524,75,70,0
0.933090760892103,4,0.032968590760530235,19,937,75,70,1
0.933090760892103,4,-0.0809095435725134,19,639,75,70,1
0.933090760892103,4,-0.023023554962896164,19,822,75,70,1
0.933090760892103,4,-0.0942332852894795,19,586,75,70,1
0.933090760892103,4,-0.025208282213959446,19,818,75,70,1
0.933090760892103,4,-0.12175713523545295,19,470,75,70,1
-0.4019626865857902,4,-0.1564156978585532,7,350,26,28,0
0.933090760892103,4,-0.09328760165219205,19,589,75,70,1
