number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,dropout_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,prune_testing_loss,layer_normalisation_testing_loss,weight_decay_testing_loss,weight_perturbation_testing_loss,SMOTE_testing_loss
10.0,0.9,2086.0,7.0,0.0047938638542665,0.7,298.0,0.9733333333333334,0.8,0.1219151425414937,1.1921100204094983,0.0177633836163828,0.0177633836163828,2.3917022307905165,1.0179220908482445,-0.6422936482686488,157.03839570577543,1,1,2,2,2,1,4,5,3
10.0,0.9,2086.0,7.0,0.0047938638542665,0.7,298.0,0.9733333333333334,0.7,0.1107904955982483,1.1219245831295783,0.0177633836163828,0.0177633836163828,2.194266140543484,1.0179220908482445,-0.6030759313219071,157.03839570577543,1,2,3,2,2,2,4,5,4
11.0,0.9090909090909092,2086.0,7.0,0.0052732502396931,0.6363636363636364,298.0,0.9733333333333334,0.7272727272727273,0.1033026572095616,1.1896369048030282,0.0177633836163828,0.0177633836163828,2.491252996060011,1.0179220908482445,-0.6924473777011496,157.03839570577543,1,2,3,3,2,2,4,5,4
13.0,0.8461538461538461,2086.0,7.0,0.0062320230105465,0.5384615384615384,298.0,0.9733333333333334,0.7692307692307693,0.3183665518402163,1.198550907610315,0.0177633836163828,0.0188272685682096,2.446703481136282,1.018463710888118,-0.7147681675957495,75.72168932319525,2,4,4,4,3,1,6,7,5
11.0,0.9090909090909092,2086.0,7.0,0.0052732502396931,0.6363636363636364,298.0,0.9733333333333334,0.8181818181818182,0.3071306685746942,1.1541468371884545,0.0188272685682096,0.0188272685682096,2.315927523146401,1.0190056191153396,-0.6657225131407953,148.1080152635416,1,2,3,2,2,2,5,6,4
18.0,0.8888888888888888,113.0,7.0,0.1592920353982301,0.3888888888888889,16.142857142857142,0.9411764705882352,0.5555555555555556,0.0605809920176181,1.199104397392337,0.0227375551247684,0.0286049394192135,2.1794380836411524,1.026003591543308,-0.7748091199152162,53.67246694550066,4,2,3,3,5,1,5,5,5
18.0,0.8888888888888888,695.0,7.0,0.0258992805755395,0.3888888888888889,99.28571428571428,0.97,0.6666666666666666,0.0782030835510196,1.2352389731884372,0.0233417978838501,0.0243410810456736,2.1638158630248974,1.0241279187449654,-0.7726896197513957,57.87389674934445,1,3,2,2,3,3,4,5,4
18.0,0.8888888888888888,1263.0,7.0,0.014251781472684,0.3888888888888889,180.42857142857144,0.9725274725274724,0.7222222222222222,0.1581689710699647,1.20851863159191,0.0188693452471387,0.0210624593764757,2.225087792768387,1.0201665541126328,-0.7806239536275311,69.30232375584076,2,2,4,3,5,1,7,8,6
18.0,0.8888888888888888,1357.0,7.0,0.0132645541635961,0.3888888888888889,193.8571428571429,0.9743589743589745,0.7777777777777778,0.1357974505856889,1.2097395180788624,0.0197785183899504,0.0209547640065565,2.2370678304695715,1.0205754564475786,-0.7820870581969489,67.91900962527687,2,2,3,3,4,1,6,7,5
18.0,0.8888888888888888,1778.0,7.0,0.0101237345331833,0.3888888888888889,254.0,0.97265625,0.7777777777777778,0.1138043250978233,1.179374856940731,0.0181148184163146,0.0191607454160843,2.2407386854926368,1.018812549444834,-0.7825299199723161,74.31199806189198,1,2,2,2,3,1,5,6,4
