dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,layer_normalisation,batch_normalisation,dropout,prune,weight_decay,weight_normalisation,weight_perturbation,baseline
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\102350252_20260528_183138.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.7875429537484425,1.4896856064249353,-1.334475475868657,0.5487404886090816,-1.2662121658801857,0.11530153954510691,-1.5738969290137519,0.9918474047359663,1.0531446946218626,-0.47524622608045874,0.4930985551663586,-0.23304010578892406,1.0926986088738238,0.43120146073194215,-1.3417193913399887,0.49471070976943177,-0.7448156288046777,-1.2366396320204367,-1.1924969841395168,1.3454078138510563,2.0159521910638043,0.27499173680034417,0.15781924191020102,0.5162319396414562,-1.0483349243982647,-0.6004503839213523,-0.9974031744924993,1,1,1,1,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1915252817_20260528_183138.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.8520065072099969,1.4896856064249353,-1.334475475868657,0.7545969211267288,-1.2662121658801857,0.316123869894479,-1.5738969290137519,1.1634096762040937,1.0536119206905137,-0.596900090481261,0.5346164697215349,-0.27667858993634575,1.086163922546946,0.4747830581799188,-1.3602005046507395,0.6833911256987569,-0.4735833310845644,-1.1633338170444274,-0.7354801336450144,1.53145636529738,1.7501954918900762,0.05667488775283191,0.03164652334026219,0.547468621182273,1.2200232614161257,-0.5910574299761676,-0.18960343763396523,1,1,0,0,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\2376520247_20260528_183139.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9038060154391349,1.4896856064249353,-1.334475475868657,0.9658459678534348,-1.2662121658801857,0.5192560556656349,-1.5738969290137519,1.3358171620891017,1.0544055096513596,-0.47524622608045874,0.5343163147916029,-0.27056867462811035,1.0799986257683005,0.4744669825364029,-1.360063987350044,0.8225435267983471,-0.9761097796036394,-1.1603931223667907,-1.4561437455882775,1.4023286099362902,1.581497234175172,-0.06909349178171821,0.19099914222599998,0.49203974421510455,0.05488909912097216,-0.5432369795248803,-0.69041093971522,1,1,0,0,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1368497363_20260528_183139.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9400815654711463,1.4896856064249353,-1.334475475868657,1.1530845702011077,-1.2662121658801857,0.696832015447732,-1.5738969290137519,1.485644365648431,1.0541528346297222,-0.47524622608045874,0.526479704890209,-0.2398136163209741,1.0856542866032137,0.4662198763648802,-1.3566168539320007,1.0006691047206562,-0.3485582864727733,-0.9814828207455842,-0.1492083157302036,1.255715841207441,1.3037815733345302,-0.5408202607993268,-0.5405656975538061,0.5113248730944023,1.1835434853133646,-0.5542753959706018,-0.16377698630222837,1,1,0,1,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\288863345_20260528_183140.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9415425386821856,1.4896856064249353,-1.334475475868657,1.161566472688553,-1.2662121658801857,0.704821844033901,-1.5738969290137519,1.492366653377818,1.0538575538774368,-0.47524622608045874,0.5276197312983444,-0.25005862746916147,1.086639164898308,0.467419000688292,-1.3571215079199341,0.9398507612368617,-0.6189285442926756,-1.3427825639134068,-1.4727975007282328,1.3770800914779289,1.3604978158285088,-0.2844036048745092,-0.3500068503924493,0.5103509384876356,0.5277971285477776,-0.5445934184206539,-0.4531748402873283,1,1,0,1,0,0,1,0
Agaricus Lepiota,,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,1.4896856064249353,-1.334475475868657,1.2697439665988772,-1.2662121658801857,0.8063138271322533,-1.5738969290137519,1.5776173559609334,1.0543355318310004,-0.47524622608045874,0.5239248234651024,-0.2551819753253837,1.0864912789201748,0.4635333169619212,-1.3554873472132511,1.0010935592644523,-0.7632492594420371,-1.2847628805733107,-1.1673206105669212,0.703224744907672,1.1415929974120107,-0.5408202607993268,-0.3776219627957645,0.43235842660576856,0.7410544353840529,-0.4830803051200012,-0.43278906524164207,1,1,0,0,0,0,0,0
Ann thyroid,Data\Input\Subsets\Ann thyroid\3961129730_20260528_183143.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,1.1211827465147945,0.7422668038777244,1.1581115999211056,-0.42812739301265923,0.7818019864980676,-1.0504273617515432,1.215093136050801,-1.2519382511755492,1.080642671256115,-1.0655279084975855,-0.7435812636487938,-0.11123443079236119,-1.0280627106083893,-0.5088839658978968,0.8983159246130671,-1.4891307416420787,-1.081893688777172,-1.2958610674354956,0.1532946925320275,-0.552153540967032,-1.4854324888809842,-1.743563238926427,-0.9405725222367066,-0.0840416689222019,1.5210601053859722,0.4458540598718854,1,0,0,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\616739963_20260528_183144.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,0.9369313165597242,0.7422668038777244,1.1581115999211056,-0.42812739301265923,0.8251589588402428,-0.9850479124597762,1.215093136050801,-1.2519382511755492,1.0657027229963671,-1.0515736262119668,-0.7435812636487938,-0.11045215296330929,-1.0163101993685788,-0.4797961288558403,0.9057933910442337,-1.5160644765405047,-0.914521582296659,-1.1723100912378832,0.4036381079323217,0.5251989773768806,-1.4854324888809842,-1.743563238926427,-0.8954314740783391,-1.5470565038779842,1.4921078826983396,-0.1414450670354473,0,0,0,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\2457631660_20260528_183144.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,1.305434176469865,0.7422668038777244,1.1581115999211056,-0.42812739301265923,0.7406776829968197,-1.110808659763392,1.215093136050801,-1.2519382511755492,1.0940886246898878,-1.012943125244591,-0.7435812636487938,-0.11428657978720408,-0.9836689216389211,-0.6669371734777562,0.9437335341904215,0.07969058444807335,-0.9747506557740919,-0.9448171316136816,0.26335318318269385,0.12160164535306756,-1.4854324888809842,-1.743563238926427,-0.9160526661103271,1.1667241825746424,1.4704425526932414,1.9439685107517721,1,1,0,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\4095911610_20260528_183145.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,-0.16857726317069804,0.7422668038777244,1.1581115999211056,-0.42812739301265923,1.1505587880238435,-0.4430867091821855,1.215093136050801,-1.2519382511755492,1.1366674772301684,-1.2116594943991459,-0.7435812636487938,-0.8666909200738845,-1.1499381738422012,0.3416495646439359,1.4071643095067705,-1.7857171393753677,-1.2414275833999566,-1.4534787654798438,-0.10279243656614771,-0.1074949561755453,-1.4854324888809842,-1.743563238926427,-0.5000645602472871,-0.5364103276952178,0.23084857940988457,-0.7577133606149198,1,1,1,1,1,1,1,1
